,HKT,CC,temp
0,2019-10-07 07:01:00,,23.5
1,2019-10-07 07:02:00,,23.5
2,2019-10-07 07:03:00,,23.5
3,2019-10-07 07:05:00,,
4,2019-10-07 07:06:00,,
5,2019-10-07 07:08:00,,23.4
6,2019-10-07 07:09:00,,23.4
7,2019-10-07 07:11:00,,23.4
8,2019-10-07 07:12:00,,23.4
9,2019-10-07 07:13:00,,23.4
10,2019-10-07 07:14:00,,23.4
11,2019-10-07 07:16:00,,
12,2019-10-07 07:17:00,,23.4
13,2019-10-07 07:19:00,,23.4
14,2019-10-07 07:20:00,,23.4
15,2019-10-07 07:21:00,,23.4
16,2019-10-07 07:22:00,,23.4
17,2019-10-07 07:24:00,,23.4
18,2019-10-07 07:25:00,99.0,
19,2019-10-07 07:26:00,98.0,23.5
20,2019-10-07 07:28:00,97.0,23.5
21,2019-10-07 07:30:00,98.0,
22,2019-10-07 07:31:00,98.0,23.5
23,2019-10-07 07:32:00,98.0,23.5
24,2019-10-07 07:34:00,98.0,
25,2019-10-07 07:35:00,97.0,
26,2019-10-07 07:37:00,98.0,
27,2019-10-07 07:38:00,97.0,23.3
28,2019-10-07 07:40:00,97.0,23.3
29,2019-10-07 07:41:00,98.0,
30,2019-10-07 07:42:00,98.0,
31,2019-10-07 07:44:00,98.0,23.3
32,2019-10-07 07:46:00,97.0,
33,2019-10-07 07:47:00,96.0,23.2
34,2019-10-07 07:49:00,96.0,23.2
35,2019-10-07 07:50:00,95.0,
36,2019-10-07 07:51:00,97.0,23.2
37,2019-10-07 07:53:00,97.0,23.2
38,2019-10-07 07:54:00,98.0,
39,2019-10-07 07:55:00,98.0,
40,2019-10-07 07:57:00,98.0,23.2
41,2019-10-07 07:59:00,98.0,23.2
42,2019-10-07 08:00:00,99.0,
43,2019-10-07 08:01:00,99.0,
44,2019-10-07 08:03:00,99.0,23.2
45,2019-10-07 08:04:00,99.0,23.2
46,2019-10-07 08:06:00,99.0,23.4
47,2019-10-07 08:07:00,99.0,23.4
48,2019-10-07 08:08:00,99.0,
49,2019-10-07 08:10:00,98.0,
50,2019-10-07 08:11:00,98.0,23.4
51,2019-10-07 08:13:00,97.0,23.4
52,2019-10-07 08:14:00,97.0,23.4
53,2019-10-07 08:14:59,96.0,23.5
54,2019-10-07 08:17:00,98.0,
55,2019-10-07 08:17:59,98.0,
56,2019-10-07 08:20:00,97.0,23.5
57,2019-10-07 08:20:59,97.0,23.5
58,2019-10-07 08:23:00,97.0,23.5
59,2019-10-07 08:24:00,97.0,
60,2019-10-07 08:24:59,98.0,
61,2019-10-07 08:27:00,98.0,
62,2019-10-07 08:27:59,99.0,
63,2019-10-07 08:30:00,99.0,23.5
64,2019-10-07 08:32:00,99.0,
65,2019-10-07 08:33:00,98.0,
66,2019-10-07 08:35:00,98.0,23.5
67,2019-10-07 08:36:00,98.0,
68,2019-10-07 08:38:00,96.0,
69,2019-10-07 08:39:00,95.0,
70,2019-10-07 08:40:59,96.0,
71,2019-10-07 08:42:00,99.0,23.5
72,2019-10-07 08:43:59,99.0,23.5
73,2019-10-07 08:45:00,99.0,
