,HKT,CC,temp
0,2023-08-14 10:16:00,90.0,
1,2023-08-14 10:17:00,86.0,
2,2023-08-14 10:18:00,81.0,
3,2023-08-14 10:19:00,81.0,
4,2023-08-14 10:19:00,81.0,
5,2023-08-14 10:20:00,84.0,
6,2023-08-14 10:21:00,89.0,
7,2023-08-14 10:22:00,98.0,
8,2023-08-14 10:23:00,98.0,
9,2023-08-14 10:24:00,98.0,
10,2023-08-14 10:25:00,98.0,
11,2023-08-14 10:25:00,98.0,
12,2023-08-14 10:26:00,98.0,
13,2023-08-14 10:27:00,98.0,
14,2023-08-14 10:28:00,98.0,
15,2023-08-14 10:29:00,98.0,
16,2023-08-14 10:30:00,98.0,
17,2023-08-14 10:30:00,98.0,
18,2023-08-14 10:31:00,98.0,
19,2023-08-14 10:32:00,99.0,
20,2023-08-14 10:34:00,99.0,
21,2023-08-14 10:35:00,99.0,
22,2023-08-14 10:35:00,98.0,
23,2023-08-14 10:36:00,96.0,28.0
24,2023-08-14 10:37:00,97.0,28.0
25,2023-08-14 10:38:00,98.0,28.0
26,2023-08-14 10:39:00,98.0,28.0
27,2023-08-14 15:21:00,93.0,28.5
28,2023-08-14 15:21:00,92.0,28.5
29,2023-08-14 15:22:00,92.0,28.5
30,2023-08-14 15:22:00,91.0,28.5
31,2023-08-14 15:23:00,92.0,28.5
32,2023-08-14 15:24:00,92.0,28.5
33,2023-08-14 15:24:00,95.0,28.5
34,2023-08-14 15:25:00,96.0,28.5
35,2023-08-14 15:26:00,96.0,28.5
36,2023-08-14 15:26:00,97.0,28.3
37,2023-08-14 15:27:00,98.0,28.3
38,2023-08-14 15:28:00,98.0,28.3
39,2023-08-14 15:28:00,97.0,28.3
40,2023-08-14 15:29:00,98.0,28.3
41,2023-08-14 15:30:00,98.0,28.3
42,2023-08-14 15:30:00,97.0,28.3
43,2023-08-14 15:31:00,97.0,28.3
44,2023-08-14 15:32:00,97.0,28.3
45,2023-08-14 15:32:00,97.0,28.3
46,2023-08-14 15:33:00,97.0,28.3
47,2023-08-14 15:34:00,97.0,28.3
48,2023-08-14 15:34:00,95.0,28.3
49,2023-08-14 15:35:00,92.0,28.3
50,2023-08-14 15:36:00,92.0,28.3
51,2023-08-14 15:36:00,92.0,28.2
52,2023-08-14 15:37:00,90.0,28.2
53,2023-08-14 15:38:00,90.0,28.2
54,2023-08-14 15:38:00,87.0,28.2
55,2023-08-14 15:39:00,87.0,28.2
56,2023-08-14 15:39:00,86.0,28.2
57,2023-08-14 15:40:00,89.0,28.2
58,2023-08-14 15:41:00,89.0,28.2
59,2023-08-14 15:41:00,91.0,28.2
60,2023-08-14 15:42:00,95.0,28.2
61,2023-08-14 15:43:00,88.0,28.3
62,2023-08-14 16:50:00,90.0,28.3
63,2023-08-14 16:51:00,90.0,28.3
64,2023-08-14 16:51:00,92.0,28.3
65,2023-08-14 16:52:00,93.0,28.3
66,2023-08-14 16:53:00,93.0,28.3
67,2023-08-14 16:53:00,97.0,28.3
68,2023-08-14 16:54:00,96.0,28.3
69,2023-08-14 16:55:00,96.0,28.3
70,2023-08-14 16:55:00,96.0,28.3
71,2023-08-14 16:56:00,96.0,28.3
72,2023-08-14 16:56:00,96.0,28.3
73,2023-08-14 16:57:00,93.0,28.3
74,2023-08-14 16:58:00,93.0,28.3
75,2023-08-14 16:58:00,94.0,28.3
76,2023-08-14 16:59:00,95.0,28.3
77,2023-08-14 17:00:00,95.0,28.3
78,2023-08-14 17:01:00,97.0,28.3
79,2023-08-14 18:02:00,,28.1
80,2023-08-14 18:02:00,,28.1
81,2023-08-14 18:03:00,,28.1
82,2023-08-14 18:09:00,,28.0
83,2023-08-14 18:09:00,,28.0
84,2023-08-15 09:24:00,63.0,
85,2023-08-15 09:32:00,79.0,
86,2023-08-15 09:33:00,82.0,
87,2023-08-15 09:35:00,72.0,
88,2023-08-15 09:37:00,65.0,
89,2023-08-15 09:37:00,65.0,
90,2023-08-15 09:37:00,65.0,
91,2023-08-15 09:38:00,72.0,
92,2023-08-15 09:38:00,72.0,
93,2023-08-15 09:40:00,61.0,
94,2023-08-15 09:43:00,52.0,
95,2023-08-15 09:44:00,52.0,
96,2023-08-15 09:46:00,49.0,
97,2023-08-15 09:48:00,44.0,
98,2023-08-15 09:49:00,47.0,
99,2023-08-15 09:50:00,43.0,
100,2023-08-15 09:50:00,43.0,
101,2023-08-15 09:50:00,43.0,
102,2023-08-15 10:12:00,71.0,
103,2023-08-15 10:15:00,77.0,
